Make_ID,make,Fuel_Id,fuel-type,num-of-doors,Body_id,body-style,drive-wheels,engine-location,Engine_ID,engine-type,num-of-cylinders,engine-size,fuel-system,price
10,mercedes-benz,2,electric,four,3,sedan,rwd,front,4,ohc,five,183,idi,31600
10,mercedes-benz,3,gas,four,3,sedan,rwd,front,7,ohcv,eight,234,mpfi,34184
10,mercedes-benz,3,gas,two,1,convertible,rwd,front,7,ohcv,eight,234,mpfi,35056
10,mercedes-benz,3,gas,four,3,sedan,rwd,front,7,ohcv,eight,308,mpfi,40960
10,mercedes-benz,3,gas,two,1,hardtop,rwd,front,7,ohcv,eight,304,mpfi,45400
11,mercury,3,gas,two,2,hatchback,rwd,front,4,ohc,four,140,mpfi,16503
12,mitsubishi,3,gas,two,2,hatchback,fwd,front,4,ohc,four,92,2bbl,5389
12,mitsubishi,3,gas,two,2,hatchback,fwd,front,4,ohc,four,92,2bbl,6189
12,mitsubishi,3,gas,two,2,hatchback,fwd,front,4,ohc,four,92,2bbl,6669
12,mitsubishi,3,gas,two,2,hatchback,fwd,front,4,ohc,four,98,spdi,7689
12,mitsubishi,3,gas,two,2,hatchback,fwd,front,4,ohc,four,110,spdi,9959
12,mitsubishi,3,gas,two,2,hatchback,fwd,front,4,ohc,four,122,2bbl,8499
12,mitsubishi,3,gas,two,2,hatchback,fwd,front,4,ohc,four,156,spdi,12629
12,mitsubishi,3,gas,two,2,hatchback,fwd,front,4,ohc,four,156,spdi,14869
12,mitsubishi,3,gas,two,2,hatchback,fwd,front,4,ohc,four,156,spdi,14489
12,mitsubishi,2,electric,four,3,sedan,fwd,front,4,ohc,four,122,2bbl,6989
12,mitsubishi,3,gas,four,3,sedan,fwd,front,4,ohc,four,122,2bbl,8189
12,mitsubishi,3,gas,four,3,sedan,fwd,front,4,ohc,four,110,spdi,9279
12,mitsubishi,3,gas,four,3,sedan,fwd,front,4,ohc,four,110,spdi,9279
13,nissan,3,gas,two,3,sedan,fwd,front,4,ohc,four,97,2bbl,5499
13,nissan,1,diesel,two,3,sedan,fwd,front,4,ohc,four,103,idi,7099
13,nissan,3,gas,two,3,sedan,fwd,front,4,ohc,four,97,2bbl,6649
13,nissan,3,gas,four,3,sedan,fwd,front,4,ohc,four,97,2bbl,6849
13,nissan,3,gas,four,4,wagon,fwd,front,4,ohc,four,97,2bbl,7349
13,nissan,3,gas,two,3,sedan,fwd,front,4,ohc,four,97,2bbl,7299
13,nissan,2,electric,two,2,hatchback,fwd,front,4,ohc,four,97,2bbl,7799
13,nissan,3,gas,four,3,sedan,fwd,front,4,ohc,four,97,2bbl,7499
13,nissan,3,gas,four,4,wagon,fwd,front,4,ohc,four,97,2bbl,7999
13,nissan,2,electric,two,1,hardtop,fwd,front,4,ohc,four,97,2bbl,8249
13,nissan,3,gas,four,2,hatchback,fwd,front,4,ohc,four,120,2bbl,8949
13,nissan,3,gas,four,3,sedan,fwd,front,4,ohc,four,120,2bbl,9549
13,nissan,3,gas,four,3,sedan,fwd,front,7,ohcv,six,181,mpfi,13499
13,nissan,3,gas,four,4,wagon,fwd,front,7,ohcv,six,181,mpfi,14399
13,nissan,3,gas,four,3,sedan,fwd,front,7,ohcv,six,181,mpfi,13499
13,nissan,3,gas,two,2,hatchback,rwd,front,7,ohcv,six,181,mpfi,17199
13,nissan,3,gas,two,2,hatchback,rwd,front,7,ohcv,six,181,mpfi,19699
13,nissan,3,gas,two,2,hatchback,rwd,front,7,ohcv,six,181,mpfi,18399
14,peugot,3,gas,four,3,sedan,rwd,front,4,l,four,120,mpfi,11900
14,peugot,1,diesel,four,3,sedan,rwd,front,4,l,four,152,idi,13200
14,peugot,3,gas,four,4,wagon,rwd,front,4,l,four,120,mpfi,12440
14,peugot,1,diesel,four,4,wagon,rwd,front,4,l,four,152,idi,13860
14,peugot,3,gas,four,3,sedan,rwd,front,4,l,four,120,mpfi,15580
14,peugot,1,diesel,four,3,sedan,rwd,front,4,l,four,152,idi,16900
14,peugot,3,gas,four,4,wagon,rwd,front,4,l,four,120,mpfi,16695
14,peugot,1,diesel,four,4,wagon,rwd,front,4,l,four,152,idi,17075
14,peugot,3,gas,four,3,sedan,rwd,front,4,l,four,120,mpfi,16630
14,peugot,1,diesel,four,3,sedan,rwd,front,4,l,four,152,idi,17950
14,peugot,3,gas,four,3,sedan,rwd,front,4,l,four,134,mpfi,18150
15,plymouth,3,gas,two,2,hatchback,fwd,front,4,ohc,four,90,2bbl,5572
15,plymouth,3,gas,two,2,hatchback,fwd,front,4,ohc,four,98,spdi,7957
15,plymouth,3,gas,four,2,hatchback,fwd,front,4,ohc,four,90,2bbl,6229
15,plymouth,3,gas,four,3,sedan,fwd,front,4,ohc,four,90,2bbl,6692
15,plymouth,3,gas,four,3,sedan,fwd,front,4,ohc,four,98,2bbl,7609
15,plymouth,3,gas,four,4,wagon,fwd,front,4,ohc,four,122,2bbl,8921
15,plymouth,3,gas,two,2,hatchback,rwd,front,4,ohc,four,156,spdi,12764
16,porsche,3,gas,two,2,hatchback,rwd,front,4,ohc,four,151,mpfi,22018
16,porsche,3,gas,two,1,hardtop,rwd,rear,6,ohcf,six,194,mpfi,32528
16,porsche,3,gas,two,1,hardtop,rwd,rear,6,ohcf,six,194,mpfi,34028
16,porsche,3,gas,two,1,convertible,rwd,rear,6,ohcf,six,194,mpfi,37028
16,porsche,3,gas,two,2,hatchback,rwd,front,1,dohcv,eight,203,mpfi,0
17,renault,3,gas,four,4,wagon,fwd,front,4,ohc,four,132,mpfi,9295
17,renault,3,gas,two,2,hatchback,fwd,front,4,ohc,four,132,mpfi,9895
18,saab,3,gas,two,2,hatchback,fwd,front,4,ohc,four,121,mpfi,11850
18,saab,3,gas,four,3,sedan,fwd,front,4,ohc,four,121,mpfi,12170
18,saab,3,gas,two,2,hatchback,fwd,front,4,ohc,four,121,mpfi,15040
18,saab,3,gas,four,3,sedan,fwd,front,4,ohc,four,121,mpfi,15510
18,saab,3,gas,two,2,hatchback,fwd,front,1,dohc,four,121,mpfi,18150
18,saab,3,gas,four,3,sedan,fwd,front,1,dohc,four,121,mpfi,18620
19,subaru,3,gas,two,2,hatchback,fwd,front,6,ohcf,four,97,2bbl,5118
19,subaru,3,gas,two,2,hatchback,fwd,front,6,ohcf,four,108,2bbl,7053
19,subaru,3,gas,two,2,hatchback,4wd,front,6,ohcf,four,108,2bbl,7603
19,subaru,3,gas,four,3,sedan,fwd,front,6,ohcf,four,108,2bbl,7126
19,subaru,3,gas,four,3,sedan,fwd,front,6,ohcf,four,108,2bbl,7775
19,subaru,3,gas,four,3,sedan,fwd,front,6,ohcf,four,108,mpfi,9960
19,subaru,3,gas,four,3,sedan,4wd,front,6,ohcf,four,108,2bbl,9233
19,subaru,3,gas,four,3,sedan,4wd,front,6,ohcf,four,108,mpfi,11259
19,subaru,3,gas,four,4,wagon,fwd,front,6,ohcf,four,108,2bbl,7463
19,subaru,3,gas,four,4,wagon,fwd,front,6,ohcf,four,108,mpfi,10198
19,subaru,3,gas,four,4,wagon,4wd,front,6,ohcf,four,108,2bbl,8013
19,subaru,3,gas,four,4,wagon,4wd,front,6,ohcf,four,108,mpfi,11694
20,toyota,3,gas,two,2,hatchback,fwd,front,4,ohc,four,92,2bbl,5348
20,toyota,3,gas,two,2,hatchback,fwd,front,4,ohc,four,92,2bbl,6338
20,toyota,3,gas,four,2,hatchback,fwd,front,4,ohc,four,92,2bbl,6488
20,toyota,3,gas,four,4,wagon,fwd,front,4,ohc,four,92,2bbl,6918
20,toyota,3,gas,four,4,wagon,4wd,front,4,ohc,four,92,2bbl,7898
20,toyota,3,gas,four,4,wagon,4wd,front,4,ohc,four,92,2bbl,8778
20,toyota,3,gas,four,3,sedan,fwd,front,4,ohc,four,98,2bbl,6938
20,toyota,3,gas,four,2,hatchback,fwd,front,4,ohc,four,98,2bbl,7198
20,toyota,1,diesel,four,3,sedan,fwd,front,4,ohc,four,110,idi,7898
20,toyota,2,electric,four,2,hatchback,fwd,front,4,ohc,four,110,idi,7788
20,toyota,3,gas,four,3,sedan,fwd,front,4,ohc,four,98,2bbl,7738
20,toyota,3,gas,four,2,hatchback,fwd,front,4,ohc,four,98,2bbl,8358
20,toyota,3,gas,four,3,sedan,fwd,front,4,ohc,four,98,2bbl,9258
20,toyota,3,gas,two,3,sedan,rwd,front,4,ohc,four,98,2bbl,8058
20,toyota,3,gas,two,2,hatchback,rwd,front,4,ohc,four,98,2bbl,8238
20,toyota,3,gas,two,3,sedan,rwd,front,1,dohc,four,98,mpfi,9298
20,toyota,3,gas,two,2,hatchback,rwd,front,1,dohc,four,98,mpfi,9538
20,toyota,3,gas,two,1,hardtop,rwd,front,4,ohc,four,146,mpfi,8449
20,toyota,3,gas,two,1,hardtop,rwd,front,4,ohc,four,146,mpfi,9639
20,toyota,3,gas,two,2,hatchback,rwd,front,4,ohc,four,146,mpfi,9989
20,toyota,3,gas,two,1,hardtop,rwd,front,4,ohc,four,146,mpfi,11199
20,toyota,3,gas,two,2,hatchback,rwd,front,4,ohc,four,146,mpfi,11549
20,toyota,3,gas,two,1,convertible,rwd,front,4,ohc,four,146,mpfi,17669
20,toyota,3,gas,four,3,sedan,fwd,front,4,ohc,four,122,mpfi,8948
20,toyota,1,diesel,four,3,sedan,fwd,front,4,ohc,four,110,idi,10698
20,toyota,3,gas,four,2,hatchback,fwd,front,4,ohc,four,122,mpfi,9988
20,toyota,3,gas,four,3,sedan,fwd,front,4,ohc,four,122,mpfi,10898
20,toyota,3,gas,four,2,hatchback,fwd,front,4,ohc,four,122,mpfi,11248
20,toyota,3,gas,two,2,hatchback,rwd,front,1,dohc,six,171,mpfi,16558
20,toyota,3,gas,two,2,hatchback,rwd,front,1,dohc,six,171,mpfi,15998
20,toyota,3,gas,four,3,sedan,rwd,front,1,dohc,six,171,mpfi,15690
20,toyota,3,gas,four,4,wagon,rwd,front,1,dohc,six,161,mpfi,15750
21,volkswagen,1,diesel,two,3,sedan,fwd,front,4,ohc,four,97,idi,7775
21,volkswagen,3,gas,two,3,sedan,fwd,front,4,ohc,four,109,mpfi,7975
21,volkswagen,1,diesel,four,3,sedan,fwd,front,4,ohc,four,97,idi,7995
21,volkswagen,3,gas,four,3,sedan,fwd,front,4,ohc,four,109,mpfi,8195
21,volkswagen,3,gas,four,3,sedan,fwd,front,4,ohc,four,109,mpfi,8495
21,volkswagen,1,diesel,four,3,sedan,fwd,front,4,ohc,four,97,idi,9495
21,volkswagen,3,gas,four,3,sedan,fwd,front,4,ohc,four,109,mpfi,9995
21,volkswagen,3,gas,two,1,convertible,fwd,front,4,ohc,four,109,mpfi,11595
21,volkswagen,3,gas,two,2,hatchback,fwd,front,4,ohc,four,109,mpfi,9980
21,volkswagen,3,gas,four,3,sedan,fwd,front,4,ohc,five,136,mpfi,13295
21,volkswagen,2,electric,four,3,sedan,fwd,front,4,ohc,four,97,idi,13845
21,volkswagen,3,gas,four,4,wagon,fwd,front,4,ohc,four,109,mpfi,12290
22,volvo,3,gas,four,3,sedan,rwd,front,4,ohc,four,141,mpfi,12940
22,volvo,3,gas,four,4,wagon,rwd,front,4,ohc,four,141,mpfi,13415
22,volvo,3,gas,four,3,sedan,rwd,front,4,ohc,four,141,mpfi,15985
22,volvo,3,gas,four,4,wagon,rwd,front,4,ohc,four,141,mpfi,16515
22,volvo,3,gas,four,3,sedan,rwd,front,4,ohc,four,130,mpfi,18420
22,volvo,3,gas,four,4,wagon,rwd,front,4,ohc,four,130,mpfi,18950
22,volvo,3,gas,four,3,sedan,rwd,front,4,ohc,four,141,mpfi,16845
22,volvo,3,gas,four,3,sedan,rwd,front,4,ohc,four,141,mpfi,19045
22,volvo,3,gas,four,3,sedan,rwd,front,7,ohcv,six,173,mpfi,21485
22,volvo,1,diesel,four,3,sedan,rwd,front,4,ohc,six,145,idi,22470
22,volvo,3,gas,four,3,sedan,rwd,front,4,ohc,four,141,mpfi,22625
